platform,item,suggestions
Amazon_UK,vehicle toys,"['vehicle toys for toddlers 1-3', 'vehicle toys for 1 year old', 'vehicle toys for toddlers', 'vehicle toys for 2 year old', 'vehicle toys for boys 5-8', 'vehicle toys for boys 3-5 years old', 'vehicle toys for 4 year old boys', 'vehicle toys for kids', 'vehicle toys for boys', 'vehicle toys for 3 year old boys']"
Amazon_UK,sport,"['sport formula 99', 'sport formula 99 vitamin powder', 'sport formula multivitamin', 'sport formula multivitamin powder', 'sport for women', 'sport for men', 'sport for kids', 'sport for man', 'sport for women clothes', 'sport for women clothes set']"
Amazon_UK,military toys,"['military toys for boys age 8-12', 'military toys for boys age 4-7', 'military toys for kids', 'military toys for boys', 'military toys for 6 year old boys', 'military toys for boys age 8-12 army', 'military toys for boys age 8-12 aircraft carrier', 'military toys for kids 10-12', 'military toys for 7 year old boys', 'military toys for']"
Amazon_UK,race cars,"['race cars for kids ages 3-5', 'race cars for boys 6-12', 'race cars for toddlers 1-3', 'race cars for kids', 'race cars for kids ages 4-8', 'race cars for 1 year old', 'race cars for toddlers', 'race cars for boys', 'toy race cars for boys age 4-7', 'race cars for girls']"
Amazon_UK,outer space toys,"['outer space toys for kids 5-7', 'outer space toys for babies', 'outer space toys for kids', 'outer space toys for kids 3-5', 'outer space toys for 3 year old', 'outer space toys for kids 8-12', 'outer space toys for toddlers 1-3', 'outer space toys for toddlers', 'outer space toys for kids 7-9', 'outer space toys for kids 8-10']"
Amazon_UK,depots,"['air force gear depot sunglasses', 'armed forces depot', 'air force gear depot sunglasses impact recon']"
Amazon_UK,machines,"['rowing machines for home use', 'machines for kids', 'machines for parties', 'machines for legs', 'machines for freedom', 'elliptical machines for home use', 'vending machines for business', 'machines for cutting hair', 'machines for business', 'arcade games machines for home']"
Amazon_UK,doll-humanoid,[]
Amazon_UK,action figures,"['action figures for boys age 8-12', 'action figures for boys age 4-7', 'action figures for boys', 'action figures fortnite', 'action figures for toddlers', 'action figures for boys age 3', 'action figures for girls', 'action figures for kids', 'action figures for boys age 7', 'action figures for girls age 4-7']"
Amazon_UK,gi joe action figure,['gi joe classified series-tiger-force-recondo-action-figure']
Amazon_UK,spiderman,"['spiderman for girls', 'spiderman for boys 4-6', 'spiderman for boys', 'spiderman for toddlers', 'spiderman for kids', 'spiderman for men', 'spiderman fork and spoon set for kids', 'spiderman for 3 year old', 'spiderman for adults', 'spiderman for 6 year old boys']"
Amazon_UK,guitar,"['guitar for kids ages 5-9', 'guitar for kids', 'guitar for kids ages 3-5', 'guitar for toddlers 1-3', 'guitar for beginners adults', 'guitar for kids ages 9-12', 'guitar for dummies', 'guitar for toddler', 'guitar for toddlers 3-5', 'guitar for adults']"
Amazon_UK,castle tent,"['castle tent for girls', 'castle tent for boys', 'castle tent for kids', 'castle tent for adults', 'castle tent for bed', 'castle tent for twin loft bed', 'castle tent for kids indoor', 'castle tent for toddlers', 'castle tent for twin bed', 'castle tent for girls bed']"
Amazon_UK,microscope,"['microscope for kids', 'microscope for adults', 'microscope for kids 8-12', 'microscope for kids 5-7', 'microscope for iphone', 'microscope for phone', 'microscope for coins', 'microscope for electronics repair', 'microscope for cell phone', 'microscope for coins collectors']"
Amazon_UK,monster trucks,"['monster trucks for boys', 'monster trucks for boys 3 years', 'monster trucks for boys 4 years old', 'monster trucks for boys 2 years old', 'monster trucks for boys 6 years old', 'monster trucks for boys 5 years old', 'monster trucks for kids', 'monster trucks for boys remote control', 'monster trucks for toddlers', 'monster trucks for girls']"
Amazon_UK,bug collection set,[]
Amazon_UK,barn,"['barn for toddlers', 'barn for toddlers 1-3', 'barn for kids', 'barn fork', 'barn for horses', 'barn for animals', 'barn for toddlers 3-5', 'barn for kids playhouse', 'barn forever stamps', 'barn for birthday party']"
Amazon_UK,grill,"['grill for stovetop', 'grill for outdoor grill', 'grill for indoor cooking', 'grill fork', 'grill for kids', 'grill for boat', 'grill for', 'grill for camping', 'grill for fire pit', 'grill for truck']"
Amazon_UK,dinosaur toy,"['dinosaur toy for girls', 'dinosaur toy for dogs', 'dinosaur toy for toddler', 'dinosaur toy for 2 year old girl', 'dinosaur toy for baby', 'dinosaur toy for 1 year old', 'dinosaur toy for 2 year old', 'dinosaur toy for 3 year old', 'dinosaur toy for kids', 'dinosaur toy for 6 year old boy']"
Amazon_UK,volcano creator,[]
Amazon_UK,pokemon cards,"['pokemon cards for kids', 'pokemon cards for girls', 'pokemon cards for kids 6-8', 'pokemon cards for 1 dollar', 'pokemon cards for free', 'pokemon cards for 10 dollars', 'pokemon cards for sale', 'pokemon cards for 5 dollars', 'pokemon cards for boys', 'pokemon cards for 10']"
Amazon_UK,space station toys,"['space shuttle toys', 'space station toys for boys 5-8', 'space station toys for kids 3-5', 'space station toy', 'space ship toys']"
